                     file line col                linter
147        inst/app/app.R  541  31    indentation_linter
148        inst/app/app.R  543  22    indentation_linter
149        inst/app/app.R  545  31    indentation_linter
150        inst/app/app.R  550  81    line_length_linter
151        inst/app/app.R  557  81    line_length_linter
152        inst/app/app.R  564  81    line_length_linter
153        inst/app/app.R  569  22    indentation_linter
154        inst/app/app.R  571  22    indentation_linter
155        inst/app/app.R  573  31    indentation_linter
156        inst/app/app.R  573  81    line_length_linter
157        inst/app/app.R  575  46    indentation_linter
158        inst/app/app.R  575  81    line_length_linter
159        inst/app/app.R  578  81    line_length_linter
160        inst/app/app.R  579  31    indentation_linter
161        inst/app/app.R  580  81    line_length_linter
162        inst/app/app.R  581  81    line_length_linter
163        inst/app/app.R  582  22    indentation_linter
164        inst/app/app.R  584  31    indentation_linter
165        inst/app/app.R  584  81    line_length_linter
166        inst/app/app.R  586  46    indentation_linter
167        inst/app/app.R  586  81    line_length_linter
168        inst/app/app.R  589  81    line_length_linter
169        inst/app/app.R  590  31    indentation_linter
170        inst/app/app.R  591  81    line_length_linter
171        inst/app/app.R  592  81    line_length_linter
172        inst/app/app.R  593  22    indentation_linter
173        inst/app/app.R  594  10    indentation_linter
174        inst/app/app.R  595   6    indentation_linter
175        inst/app/app.R  628   8    indentation_linter
176        inst/app/app.R  628  32         commas_linter
177        inst/app/app.R  630  81    line_length_linter
178        inst/app/app.R  631  81    line_length_linter
179        inst/app/app.R  633  79         commas_linter
180        inst/app/app.R  633  81         commas_linter
181        inst/app/app.R  633  81    line_length_linter
182        inst/app/app.R  634  81    line_length_linter
183        inst/app/app.R  635   8    indentation_linter
184        inst/app/app.R  643  81    line_length_linter
185        inst/app/app.R  653  81    line_length_linter
186        inst/app/app.R  667  81    line_length_linter
187        inst/app/app.R  681  81    line_length_linter
188        inst/app/app.R  693  81    line_length_linter
189        inst/app/app.R  704  81    line_length_linter
190        inst/app/app.R  711  81    line_length_linter
191        inst/app/app.R  723  81    line_length_linter
192        inst/app/app.R  745  81    line_length_linter
193        inst/app/app.R  761   5   object_usage_linter
194        inst/app/app.R  762   5   object_usage_linter
195        inst/app/app.R  794  81    line_length_linter
196        inst/app/app.R  801  81    line_length_linter
197        inst/app/app.R  849  81    line_length_linter
198        inst/app/app.R  864  81    line_length_linter
199        inst/app/app.R  881  81    line_length_linter
200        inst/app/app.R  882  81    line_length_linter
201        inst/app/app.R  902  81    line_length_linter
202        inst/app/app.R  903  81    line_length_linter
203        inst/app/app.R  934  81    line_length_linter
204        inst/app/app.R  973   3    object_name_linter
205        inst/app/app.R  990   7 commented_code_linter
206        inst/app/app.R  991   5    object_name_linter
207        inst/app/app.R  992  11    object_name_linter
208        inst/app/app.R 1006   5    object_name_linter
209        inst/app/app.R 1073  81    line_length_linter
210        inst/app/app.R 1105   7          brace_linter
211        inst/app/app.R 1120  10    indentation_linter
212        inst/app/app.R 1151  81    line_length_linter
213        inst/app/app.R 1160  81    line_length_linter
214        inst/app/app.R 1186  22  spaces_inside_linter
215        inst/app/app.R 1207  36          brace_linter
216        inst/app/app.R 1207  81    line_length_linter
217        inst/app/app.R 1213  81    line_length_linter
218        inst/app/app.R 1244  15   infix_spaces_linter
219        inst/app/app.R 1253   5          brace_linter
220        inst/app/app.R 1262  81    line_length_linter
221        inst/app/app.R 1263  81    line_length_linter
222        inst/app/app.R 1264  81    line_length_linter
223        inst/app/app.R 1310  81    line_length_linter
224        inst/app/app.R 1314  81    line_length_linter
225        inst/app/app.R 1320  81    line_length_linter
226        inst/app/app.R 1336  81    line_length_linter
227        inst/app/app.R 1337  81    line_length_linter
228        inst/app/app.R 1345  81    line_length_linter
229        inst/app/app.R 1361  81    line_length_linter
230        inst/app/app.R 1362  81    line_length_linter
231        inst/app/app.R 1370  81    line_length_linter
232        inst/app/app.R 1387   5    object_name_linter
233        inst/app/app.R 1390   5    object_name_linter
234        inst/app/app.R 1414  81    line_length_linter
235        inst/app/app.R 1435  28      semicolon_linter
236        inst/app/app.R 1508  81    line_length_linter
237        inst/app/app.R 1509  81    line_length_linter
238        inst/app/app.R 1510  81    line_length_linter
239        inst/app/app.R 1555  81    line_length_linter
240        inst/app/app.R 1556  81    line_length_linter
241        inst/app/app.R 1579   2    indentation_linter
242        inst/app/app.R 1598   5 commented_code_linter
243        inst/app/app.R 1600   2    indentation_linter
244        inst/app/app.R 1606  81    line_length_linter
245        inst/app/app.R 1631   8    indentation_linter
246        inst/app/app.R 1632  81    line_length_linter
247        inst/app/app.R 1638  81    line_length_linter
248        inst/app/app.R 1646  81    line_length_linter
249        inst/app/app.R 1654  81    line_length_linter
250        inst/app/app.R 1670  81    line_length_linter
251        inst/app/app.R 1684  81    line_length_linter
252        inst/app/app.R 1706  81    line_length_linter
253        inst/app/app.R 1712  81    line_length_linter
254        inst/app/app.R 1733  81    line_length_linter
255        inst/app/app.R 1751  81    line_length_linter
256        inst/app/app.R 1757  81    line_length_linter
257        inst/app/app.R 1772  81    line_length_linter
258        inst/app/app.R 1859  81    line_length_linter
259        inst/app/app.R 1863  81    line_length_linter
260        inst/app/app.R 1864  81    line_length_linter
261        inst/app/app.R 1910  81    line_length_linter
262        inst/app/app.R 1965  18      semicolon_linter
263        inst/app/app.R 1969  81    line_length_linter
264        inst/app/app.R 1974  18      semicolon_linter
265        inst/app/app.R 1978  81    line_length_linter
266         R/bak_logic.R   35  81    line_length_linter
267         R/bak_logic.R   42  81    line_length_linter
268         R/bak_logic.R   46  81    line_length_linter
269         R/bak_logic.R   52  81    line_length_linter
270         R/bak_logic.R   56  81    line_length_linter
271         R/bak_logic.R   72  81    line_length_linter
272         R/bak_logic.R  120  81    line_length_linter
273         R/bak_logic.R  186  29 commented_code_linter
274      R/build_matrix.R    3  81    line_length_linter
275      R/build_matrix.R    5  81    line_length_linter
276      R/build_matrix.R   23   0    indentation_linter
277      R/build_matrix.R   29  81    line_length_linter
278      R/build_matrix.R   30  81    line_length_linter
279      R/build_matrix.R   32  81    line_length_linter
280      R/build_matrix.R   33  81    line_length_linter
281      R/build_matrix.R   36  81    line_length_linter
282      R/build_matrix.R   37  81    line_length_linter
283      R/build_matrix.R   38  81    line_length_linter
284      R/build_matrix.R   40  81    line_length_linter
285      R/build_matrix.R   41  81    line_length_linter
286      R/build_matrix.R   42  81    line_length_linter
287      R/build_matrix.R   43  81    line_length_linter
288      R/build_matrix.R   44  81    line_length_linter
289      R/build_matrix.R   45  81    line_length_linter
290      R/build_matrix.R   50  81    line_length_linter
291      R/build_matrix.R   52  81    line_length_linter
292      R/build_matrix.R   55  81    line_length_linter
293      R/build_matrix.R   72  81    line_length_linter
294      R/build_matrix.R   73  81    line_length_linter
295      R/build_matrix.R   74  81    line_length_linter
296      R/build_matrix.R   75  63         commas_linter
297      R/build_matrix.R   75  72         commas_linter
298      R/build_matrix.R   75  79         commas_linter
299      R/build_matrix.R   75  81    line_length_linter
300      R/build_matrix.R   75  92         commas_linter
301      R/build_matrix.R   76  32         commas_linter
302      R/build_matrix.R   76  40         commas_linter
303      R/build_matrix.R   76  58         commas_linter
304      R/build_matrix.R   76  66         commas_linter
305      R/build_matrix.R   76  74         commas_linter
306      R/build_matrix.R   76  81    line_length_linter
